iter = 10 , loss = 61.90132010844687 , RMSE train = 1.4085410000252154
iter = 40 , loss = 0.23211053648738522 , RMSE train = 0.9810277640212781
iter = 50 , loss = 0.2311423899813466 , RMSE train = 0.9810277640211401
iter = 60 , loss = 0.23108787024639868 , RMSE train = 0.9810277640211585
iter = 70 , loss = 0.23108480004801732 , RMSE train = 0.98102776402116
iter = 80 , loss = 0.2310846271543087 , RMSE train = 0.98102776402116
iter = 90 , loss = 0.23108461741805256 , RMSE train = 0.98102776402116
iter = 100 , loss = 0.23108461686976947 , RMSE train = 0.98102776402116
iter = 10 , loss = 5.955706545924084 , RMSE train = 0.984303509738467
iter = 20 , loss = 0.5558231996045315 , RMSE train = 0.9842160724611676
iter = 30 , loss = 0.2517412054938132 , RMSE train = 0.9842159607497719
iter = 40 , loss = 0.2346172972328071 , RMSE train = 0.984215960427073
iter = 50 , loss = 0.23365299048472787 , RMSE train = 0.984215960426154
iter = 60 , loss = 0.23359868701573344 , RMSE train = 0.9842159604261558
iter = 70 , loss = 0.23359562899804492 , RMSE train = 0.9842159604261557
iter = 80 , loss = 0.2335954567903857 , RMSE train = 0.9842159604261557
iter = 90 , loss = 0.23359544709276966 , RMSE train = 0.9842159604261557
iter = 100 , loss = 0.2335954465466629 , RMSE train = 0.9842159604261557
iter = 10 , loss = 5.952303153712685 , RMSE train = 0.9841464671635173
iter = 20 , loss = 0.554759066442924 , RMSE train = 0.9840542515624482
iter = 30 , loss = 0.250809572431061 , RMSE train = 0.9840541314145507
iter = 40 , loss = 0.23369313537255818 , RMSE train = 0.9840541310656964
iter = 50 , loss = 0.23272924981333537 , RMSE train = 0.9840541310646834
iter = 60 , loss = 0.23267497008849802 , RMSE train = 0.984054131064669
iter = 70 , loss = 0.23267191340936003 , RMSE train = 0.9840541310646694
iter = 80 , loss = 0.2326717412771598 , RMSE train = 0.9840541310646694
iter = 90 , loss = 0.23267173158379767 , RMSE train = 0.9840541310646694
iter = 100 , loss = 0.2326717310379307 , RMSE train = 0.9840541310646694
iter = 10 , loss = 1.1566181543496319 , RMSE train = 0.9812150233614201
iter = 20 , loss = 0.23961858256675772 , RMSE train = 0.981215581108669
iter = 30 , loss = 0.23127849165354225 , RMSE train = 0.9812155811683931
iter = 40 , loss = 0.23120263874583485 , RMSE train = 0.9812155811684011
iter = 50 , loss = 0.23120194886542508 , RMSE train = 0.9812155811684011
iter = 60 , loss = 0.23120194259097707 , RMSE train = 0.9812155811684011
iter = 70 , loss = 0.23120194253391108 , RMSE train = 0.9812155811684011
iter = 80 , loss = 0.23120194253339207 , RMSE train = 0.9812155811684011
iter = 90 , loss = 0.23120194253338736 , RMSE train = 0.9812155811684011
iter = 100 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 10 , loss = 1.1539409049719178 , RMSE train = 0.9784703631021873
iter = 20 , loss = 0.23821937177656502 , RMSE train = 0.9784693176308187
iter = 30 , loss = 0.22989094432266888 , RMSE train = 0.9784693175576532
iter = 40 , loss = 0.22981519776335588 , RMSE train = 0.9784693175576579
iter = 50 , loss = 0.22981450885262597 , RMSE train = 0.9784693175576579
iter = 60 , loss = 0.22981450258701938 , RMSE train = 0.9784693175576579
iter = 70 , loss = 0.229814502530034 , RMSE train = 0.9784693175576579
iter = 80 , loss = 0.2298145025295157 , RMSE train = 0.9784693175576579
iter = 90 , loss = 0.22981450252951102 , RMSE train = 0.9784693175576579
iter = 100 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 10 , loss = 1.1544252259362398 , RMSE train = 0.9810285296466987
iter = 20 , loss = 0.23948233357749588 , RMSE train = 0.981027764071395
iter = 30 , loss = 0.23116099353899378 , RMSE train = 0.9810277640211525
iter = 40 , loss = 0.231085311478534 , RMSE train = 0.9810277640211599
iter = 50 , loss = 0.2310846231547754 , RMSE train = 0.98102776402116
iter = 60 , loss = 0.23108461689451057 , RMSE train = 0.98102776402116
iter = 70 , loss = 0.2310846168375738 , RMSE train = 0.98102776402116
iter = 80 , loss = 0.23108461683705597 , RMSE train = 0.98102776402116
iter = 90 , loss = 0.23108461683705128 , RMSE train = 0.98102776402116
iter = 100 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 10 , loss = 1.1554373203338124 , RMSE train = 0.9842162579514234
iter = 20 , loss = 0.2419795397758398 , RMSE train = 0.9842159604369072
iter = 30 , loss = 0.23367169936361193 , RMSE train = 0.9842159604261534
iter = 40 , loss = 0.23359614002961457 , RMSE train = 0.9842159604261557
iter = 50 , loss = 0.2335954528215629 , RMSE train = 0.9842159604261557
iter = 60 , loss = 0.23359544657144085 , RMSE train = 0.9842159604261557
iter = 70 , loss = 0.2335954465145963 , RMSE train = 0.9842159604261557
iter = 80 , loss = 0.2335954465140793 , RMSE train = 0.9842159604261557
iter = 90 , loss = 0.2335954465140746 , RMSE train = 0.9842159604261557
iter = 100 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 10 , loss = 1.1576542423176244 , RMSE train = 0.9840533244393089
iter = 20 , loss = 0.24108441029147173 , RMSE train = 0.9840541309841426
iter = 30 , loss = 0.23274824399302094 , RMSE train = 0.9840541310646774
iter = 40 , loss = 0.23267242688819298 , RMSE train = 0.9840541310646694
iter = 50 , loss = 0.23267173733438776 , RMSE train = 0.9840541310646694
iter = 60 , loss = 0.23267173106291902 , RMSE train = 0.9840541310646694
iter = 70 , loss = 0.2326717310058802 , RMSE train = 0.9840541310646694
iter = 80 , loss = 0.23267173100536145 , RMSE train = 0.9840541310646694
iter = 90 , loss = 0.23267173100535674 , RMSE train = 0.9840541310646694
iter = 100 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 10 , loss = 0.3307709090675687 , RMSE train = 0.981215597082059
iter = 20 , loss = 0.23129917759810162 , RMSE train = 0.981215581168417
iter = 30 , loss = 0.23120203748933119 , RMSE train = 0.9812155811684011
iter = 40 , loss = 0.23120194262611762 , RMSE train = 0.9812155811684011
iter = 50 , loss = 0.23120194253347787 , RMSE train = 0.9812155811684011
iter = 60 , loss = 0.23120194253338738 , RMSE train = 0.9812155811684011
iter = 70 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 80 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 90 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 100 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 10 , loss = 0.3293615300016837 , RMSE train = 0.9784693035409323
iter = 20 , loss = 0.2299117167417897 , RMSE train = 0.9784693175576362
iter = 30 , loss = 0.22981459746563612 , RMSE train = 0.9784693175576579
iter = 40 , loss = 0.22981450262222244 , RMSE train = 0.9784693175576579
iter = 50 , loss = 0.2298145025296015 , RMSE train = 0.9784693175576579
iter = 60 , loss = 0.22981450252951105 , RMSE train = 0.9784693175576579
iter = 70 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 80 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 90 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 100 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 10 , loss = 0.3303176294196645 , RMSE train = 0.9810277662609408
iter = 20 , loss = 0.2311815238625607 , RMSE train = 0.9810277640211558
iter = 30 , loss = 0.23108471147268314 , RMSE train = 0.98102776402116
iter = 40 , loss = 0.23108461692946877 , RMSE train = 0.98102776402116
iter = 50 , loss = 0.2310846168371415 , RMSE train = 0.98102776402116
iter = 60 , loss = 0.2310846168370513 , RMSE train = 0.98102776402116
iter = 70 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 80 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 90 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 100 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 10 , loss = 0.33295449480848094 , RMSE train = 0.9842159523224701
iter = 20 , loss = 0.23369247699587972 , RMSE train = 0.9842159604261422
iter = 30 , loss = 0.23359554127062673 , RMSE train = 0.9842159604261557
iter = 40 , loss = 0.23359544660661052 , RMSE train = 0.9842159604261557
iter = 50 , loss = 0.23359544651416492 , RMSE train = 0.9842159604261557
iter = 60 , loss = 0.23359544651407463 , RMSE train = 0.9842159604261557
iter = 70 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 80 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 90 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 100 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 10 , loss = 0.33166582672298484 , RMSE train = 0.984054142340054
iter = 20 , loss = 0.2327684047154942 , RMSE train = 0.9840541310646957
iter = 30 , loss = 0.23267182541314116 , RMSE train = 0.9840541310646694
iter = 40 , loss = 0.2326717310975517 , RMSE train = 0.9840541310646694
iter = 50 , loss = 0.23267173100544672 , RMSE train = 0.9840541310646694
iter = 60 , loss = 0.23267173100535676 , RMSE train = 0.9840541310646694
iter = 70 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 80 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 90 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 100 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 10 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 20 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 30 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 40 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 50 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 60 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 70 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 80 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 90 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 100 , loss = 0.2312019425333873 , RMSE train = 0.9812155811684011
iter = 10 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 20 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 30 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 40 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 50 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 60 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 70 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 80 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 90 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 100 , loss = 0.22981450252951097 , RMSE train = 0.9784693175576579
iter = 10 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 20 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 30 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 40 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 50 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 60 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 70 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 80 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 90 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 100 , loss = 0.23108461683705123 , RMSE train = 0.98102776402116
iter = 10 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 20 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 30 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 40 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 50 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 60 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 70 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 80 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 90 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 100 , loss = 0.23359544651407455 , RMSE train = 0.9842159604261557
iter = 10 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 20 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 30 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 40 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 50 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 60 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 70 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 80 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 90 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
iter = 100 , loss = 0.23267173100535668 , RMSE train = 0.9840541310646694
